Year,EGOM,GBK,WGOM,SNE
1977,12.11791799,14.75452734,13.82717472,16.66965983
1978,11.22296216,14.63254592,13.06817308,16.32658645
1979,12.0998878,15.55251551,13.87778987,16.89826996
1980,11.4054634,15.36685695,13.63422414,16.55643197
1981,12.21590624,13.97701737,13.33728482,15.38959916
1982,12.14483663,15.16539763,13.77707087,17.30340701
1983,11.97313208,15.71449473,13.83357415,17.59521201
1984,12.5314366,15.13153089,13.88742167,16.97997942
1985,12.88731466,16.41660716,15.27127625,18.36833645
1986,11.82196077,14.9245349,13.66397234,17.66603829
1987,13.59272118,14.77127337,14.11688065,15.76916849
1988,10.91451015,13.97275672,13.09135075,16.86211909
1989,12.11926229,14.58498253,13.77295958,17.60781508
1990,12.38895394,13.88106071,14.29911799,17.35819462
1991,11.74722658,15.18365115,13.57540705,17.7679475
1992,10.99366342,15.02681111,13.12508531,17.10361772
1993,11.11498012,15.14354022,12.95525441,17.16095336
1994,11.80343483,14.4478576,13.44860234,16.62156794
1995,12.14044796,16.42279316,14.34206926,17.86458375
1996,10.92517771,13.37505248,12.64063196,15.38243977
1997,11.54618585,15.17279176,13.68205487,17.2677291
1998,11.20174876,14.80592028,13.48966133,17.60732317
1999,12.60018206,16.52744168,14.39646183,18.12087972
2000,11.80667153,15.09688337,13.83645509,17.62431983
2001,11.85810673,16.0580615,14.0925772,18.48966658
2002,12.51772639,16.71725795,14.87828202,18.12289065
2003,12.20660005,16.15554582,13.94754767,17.61935244
2004,11.35374549,14.9132157,13.55752189,17.38127747
2005,12.42621189,16.87517055,14.40915195,18.91447963
2006,12.26601876,15.36212503,14.19516144,17.29099409
2007,11.76732586,15.43923608,14.46561309,17.99404381
2008,11.73606442,14.84140586,13.85198013,17.17694446
2009,12.42049134,15.13840266,14.06145071,17.51321689
2010,12.58607626,15.19638055,14.20992692,17.60266626
2011,12.84728677,16.23817623,15.11240422,18.35139382
2012,13.75015314,17.78145082,15.83394317,19.04643086
2013,12.61414428,16.00375858,14.44038387,17.64582629
2014,13.76164821,16.74445146,15.31882503,18.8657486
2015,13.20774246,17.23219697,14.99164077,19.62486614
2016,13.80152242,17.23899637,15.74540687,19.0599437
2017,13.94288167,17.02360019,15.85331529,19.62009135
2018,13.70423806,16.69889683,15.45858277,18.83209597
2019,13.46666138,16.73170962,15.21298914,18.41947747
